id,title,predictions_num,Unique_predictors,Response_date,publish_time,resolved_time,number_of_forecasters,prediction_count,q1,q2,q3,avg,w_avg,var,Result
3444,Will the S&P 500 Index  end 2020 higher?,2,2,2020-01-03 23:24:37.820146,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.55,0.65,0.75,0.65,0.65,0.01,1.0
3444,Will the S&P 500 Index  end 2020 higher?,4,3,2020-01-04 00:49:52.868265,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.55,0.7,0.7,0.667,0.661,0.007,1.0
3444,Will the S&P 500 Index  end 2020 higher?,5,4,2020-01-04 02:19:56.413502,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.55,0.7,0.612,0.583,0.014,1.0
3444,Will the S&P 500 Index  end 2020 higher?,7,6,2020-01-04 03:08:49.752765,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.55,0.7,0.592,0.558,0.018,1.0
3444,Will the S&P 500 Index  end 2020 higher?,8,7,2020-01-04 04:40:08.275199,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.6,0.7,0.593,0.569,0.015,1.0
3444,Will the S&P 500 Index  end 2020 higher?,11,7,2020-01-04 04:40:48.413775,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.57,0.7,0.589,0.561,0.015,1.0
3444,Will the S&P 500 Index  end 2020 higher?,12,8,2020-01-04 09:47:37.927305,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.55,0.57,0.571,0.535,0.016,1.0
3444,Will the S&P 500 Index  end 2020 higher?,13,8,2020-01-04 12:18:45.332422,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.55,0.57,0.571,0.535,0.016,1.0
3444,Will the S&P 500 Index  end 2020 higher?,15,9,2020-01-04 13:35:27.314620,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.57,0.66,0.581,0.562,0.015,1.0
3444,Will the S&P 500 Index  end 2020 higher?,16,10,2020-01-04 17:31:16.478414,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.5,0.66,0.551,0.505,0.019,1.0
3444,Will the S&P 500 Index  end 2020 higher?,19,12,2020-01-04 19:03:14.466434,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.5,0.7,0.559,0.541,0.02,1.0
3444,Will the S&P 500 Index  end 2020 higher?,21,15,2020-01-04 20:16:21.756077,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.52,0.7,0.562,0.551,0.018,1.0
3444,Will the S&P 500 Index  end 2020 higher?,22,15,2020-01-04 21:34:05.310163,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.52,0.7,0.562,0.551,0.018,1.0
3444,Will the S&P 500 Index  end 2020 higher?,28,19,2020-01-04 22:50:53.424896,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.25,0.33,0.52,0.494,0.405,0.032,1.0
3444,Will the S&P 500 Index  end 2020 higher?,30,21,2020-01-05 00:03:56.501008,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.27,0.4,0.5,0.487,0.411,0.03,1.0
3444,Will the S&P 500 Index  end 2020 higher?,31,23,2020-01-05 01:30:26.552385,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.27,0.5,0.65,0.502,0.47,0.029,1.0
3444,Will the S&P 500 Index  end 2020 higher?,33,24,2020-01-05 02:22:55.248563,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.35,0.5,0.67,0.497,0.492,0.028,1.0
3444,Will the S&P 500 Index  end 2020 higher?,34,24,2020-01-05 03:20:23.296152,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.35,0.5,0.67,0.497,0.492,0.028,1.0
3444,Will the S&P 500 Index  end 2020 higher?,35,25,2020-01-05 04:24:52.271717,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.35,0.52,0.67,0.501,0.507,0.027,1.0
3444,Will the S&P 500 Index  end 2020 higher?,37,27,2020-01-05 05:02:37.793514,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.6,0.67,0.524,0.575,0.034,1.0
3444,Will the S&P 500 Index  end 2020 higher?,38,27,2020-01-05 07:56:36.302900,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.6,0.67,0.524,0.575,0.034,1.0
3444,Will the S&P 500 Index  end 2020 higher?,39,28,2020-01-05 07:56:53.634323,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.33,0.6,0.67,0.514,0.538,0.035,1.0
3444,Will the S&P 500 Index  end 2020 higher?,40,29,2020-01-05 15:15:23.882927,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.24,0.5,0.66,0.497,0.481,0.043,1.0
3444,Will the S&P 500 Index  end 2020 higher?,41,29,2020-01-05 17:21:51.752003,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.24,0.5,0.66,0.497,0.481,0.043,1.0
3444,Will the S&P 500 Index  end 2020 higher?,42,31,2020-01-05 19:27:49.879704,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.24,0.5,0.66,0.488,0.459,0.042,1.0
3444,Will the S&P 500 Index  end 2020 higher?,43,31,2020-01-06 02:09:15.971088,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.24,0.5,0.66,0.488,0.459,0.042,1.0
3444,Will the S&P 500 Index  end 2020 higher?,44,33,2020-01-06 07:41:39.282629,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.25,0.52,0.6,0.492,0.477,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,45,33,2020-01-06 12:59:35.564538,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.27,0.53,0.66,0.491,0.495,0.039,1.0
3444,Will the S&P 500 Index  end 2020 higher?,46,33,2020-01-06 15:35:08.359802,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.35,0.52,0.66,0.49,0.491,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,47,33,2020-01-06 15:41:45.985516,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.35,0.52,0.66,0.49,0.491,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,48,34,2020-01-07 11:11:19.973586,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.35,0.53,0.65,0.493,0.494,0.039,1.0
3444,Will the S&P 500 Index  end 2020 higher?,49,35,2020-01-07 23:01:29.395972,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.35,0.53,0.65,0.496,0.504,0.039,1.0
3444,Will the S&P 500 Index  end 2020 higher?,50,36,2020-01-07 23:12:31.707645,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.58,0.66,0.502,0.523,0.039,1.0
3444,Will the S&P 500 Index  end 2020 higher?,51,36,2020-01-08 02:45:53.462558,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.58,0.66,0.502,0.523,0.039,1.0
3444,Will the S&P 500 Index  end 2020 higher?,52,38,2020-01-08 02:57:17.662832,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.45,0.6,0.7,0.515,0.565,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,53,38,2020-01-08 08:35:59.979886,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.6,0.7,0.514,0.553,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,54,39,2020-01-08 17:22:50.424713,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.65,0.7,0.519,0.567,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,55,40,2020-01-08 19:21:34.153791,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.65,0.7,0.523,0.579,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,56,40,2020-01-08 20:12:06.707315,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.65,0.7,0.52,0.546,0.042,1.0
3444,Will the S&P 500 Index  end 2020 higher?,57,40,2020-01-09 13:40:15.218317,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.33,0.6,0.7,0.52,0.533,0.042,1.0
3444,Will the S&P 500 Index  end 2020 higher?,58,40,2020-01-09 17:53:01.399488,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.33,0.6,0.7,0.52,0.533,0.042,1.0
3444,Will the S&P 500 Index  end 2020 higher?,59,42,2020-01-09 19:29:22.144736,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.6,0.7,0.521,0.535,0.04,1.0
3444,Will the S&P 500 Index  end 2020 higher?,63,44,2020-01-09 20:32:25.480305,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.4,0.6,0.67,0.525,0.541,0.037,1.0
3444,Will the S&P 500 Index  end 2020 higher?,64,44,2020-01-10 06:04:13.449594,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.5,0.6,0.7,0.527,0.563,0.038,1.0
3444,Will the S&P 500 Index  end 2020 higher?,67,45,2020-01-10 06:14:33.980681,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.5,0.64,0.7,0.53,0.574,0.038,1.0
3444,Will the S&P 500 Index  end 2020 higher?,68,45,2020-01-10 11:41:08.200276,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.5,0.6,0.7,0.531,0.571,0.038,1.0
3444,Will the S&P 500 Index  end 2020 higher?,69,45,2020-01-10 14:03:41.678539,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.5,0.6,0.7,0.531,0.571,0.038,1.0
3444,Will the S&P 500 Index  end 2020 higher?,70,45,2020-01-10 15:43:29.317979,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.5,0.6,0.7,0.537,0.59,0.036,1.0
3444,Will the S&P 500 Index  end 2020 higher?,71,46,2020-01-10 18:00:13.670600,2020-01-03T23:00:00Z,2020-12-31T20:35:00Z,72,125,0.53,0.6,0.7,0.544,0.612,0.038,1.0
